#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1509 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:70 out:71 type:B dur:2 cpbdur:2 q:31.19 aq:28.80 tex:21398 mv:12231 misc:2443 imb:69 pmb:967 smb:2564 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:31.32 aq:29.54 tex:15096 mv:9904 misc:1992 imb:63 pmb:743 smb:2794 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:31.56 aq:24.27 tex:119078 mv:21179 misc:2591 imb:855 pmb:1487 smb:1258 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:31.51 aq:28.40 tex:26306 mv:14547 misc:2243 imb:105 pmb:1036 smb:2459 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:31.48 aq:30.12 tex:16867 mv:10388 misc:1849 imb:55 pmb:753 smb:2792 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:31.53 aq:31.13 tex:12428 mv:8614 misc:1894 imb:35 pmb:717 smb:2848 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:31.55 aq:24.32 tex:96434 mv:18612 misc:2794 imb:652 pmb:1549 smb:1399 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:31.55 aq:28.10 tex:20654 mv:11875 misc:2335 imb:68 pmb:944 smb:2588 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:31.56 aq:30.29 tex:12510 mv:7428 misc:1766 imb:33 pmb:618 smb:2949 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:31.55 aq:28.82 tex:11157 mv:6651 misc:1856 imb:41 pmb:600 smb:2959 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:31.67 aq:24.45 tex:92737 mv:17660 misc:2691 imb:634 pmb:1429 smb:1537 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:31.61 aq:27.50 tex:17296 mv:11635 misc:2493 imb:69 pmb:951 smb:2580 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:31.58 aq:29.14 tex:9956 mv:6672 misc:1844 imb:37 pmb:591 smb:2972 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:31.64 aq:29.03 tex:11699 mv:6172 misc:1937 imb:30 pmb:603 smb:2967 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:31.70 aq:25.14 tex:81788 mv:14030 misc:2382 imb:326 pmb:1272 smb:2002 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:31.68 aq:26.95 tex:19989 mv:10086 misc:2309 imb:60 pmb:814 smb:2726 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:31.68 aq:28.98 tex:11377 mv:6037 misc:1698 imb:16 pmb:529 smb:3055 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:31.69 aq:28.09 tex:9897 mv:5069 misc:1570 imb:12 pmb:467 smb:3121 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:31.47 aq:22.34 tex:119738 mv:20957 misc:2401 imb:1087 pmb:1869 smb:644 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:31.58 aq:25.06 tex:21204 mv:10031 misc:2957 imb:117 pmb:1033 smb:2450 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:31.64 aq:24.58 tex:12636 mv:6860 misc:2592 imb:95 pmb:747 smb:2758 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:31.53 aq:26.75 tex:9404 mv:3828 misc:1448 imb:17 pmb:403 smb:3180 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:31.21 aq:23.24 tex:84580 mv:13800 misc:2916 imb:465 pmb:1460 smb:1675 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:31.34 aq:25.83 tex:20010 mv:6878 misc:2200 imb:38 pmb:678 smb:2884 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:31.41 aq:26.57 tex:7285 mv:3470 misc:1357 imb:17 pmb:366 smb:3217 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:31.28 aq:26.29 tex:8824 mv:3139 misc:1213 imb:8 pmb:331 smb:3261 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:30.97 aq:23.01 tex:86254 mv:13780 misc:2830 imb:482 pmb:1427 smb:1691 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:31.09 aq:25.89 tex:20610 mv:7261 misc:2201 imb:40 pmb:673 smb:2887 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:31.15 aq:27.64 tex:10413 mv:3057 misc:1266 imb:14 pmb:323 smb:3263 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:31.03 aq:27.83 tex:11345 mv:2709 misc:1234 imb:6 pmb:326 smb:3268 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:30.89 aq:23.00 tex:67127 mv:12179 misc:3182 imb:409 pmb:1346 smb:1845 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:30.93 aq:26.47 tex:16315 mv:6544 misc:2293 imb:38 pmb:679 smb:2883 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:30.95 aq:26.76 tex:8188 mv:3052 misc:1408 imb:8 pmb:369 smb:3223 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:30.91 aq:27.07 tex:10009 mv:3832 misc:1639 imb:15 pmb:445 smb:3140 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:30.67 aq:23.16 tex:66516 mv:12513 misc:2899 imb:339 pmb:1294 smb:1967 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:30.78 aq:26.69 tex:17450 mv:8070 misc:2200 imb:38 pmb:725 smb:2837 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:30.83 aq:27.40 tex:10580 mv:3133 misc:1335 imb:12 pmb:351 smb:3237 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:30.72 aq:28.07 tex:10483 mv:4450 misc:1467 imb:14 pmb:433 smb:3153 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:30.35 aq:23.18 tex:87399 mv:16277 misc:2812 imb:582 pmb:1322 smb:1696 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:30.51 aq:26.40 tex:24083 mv:11521 misc:2372 imb:61 pmb:949 smb:2590 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:30.59 aq:27.18 tex:14448 mv:6475 misc:1813 imb:33 pmb:583 smb:2984 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:30.43 aq:26.83 tex:15480 mv:7662 misc:2090 imb:34 pmb:720 smb:2846 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:30.11 aq:23.63 tex:96946 mv:16010 misc:2436 imb:569 pmb:1264 smb:1767 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:30.23 aq:26.50 tex:30612 mv:13795 misc:2449 imb:108 pmb:1050 smb:2442 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:30.29 aq:27.60 tex:15851 mv:8836 misc:2041 imb:49 pmb:688 smb:2863 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:30.17 aq:28.78 tex:15474 mv:8007 misc:1999 imb:47 pmb:668 smb:2885 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:29.89 aq:21.93 tex:137419 mv:23220 misc:2217 imb:1046 pmb:1859 smb:695 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:30.00 aq:26.46 tex:30241 mv:13511 misc:2584 imb:107 pmb:1061 smb:2432 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:30.05 aq:28.91 tex:19112 mv:8694 misc:2050 imb:54 pmb:735 smb:2811 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:29.94 aq:26.23 tex:23832 mv:10910 misc:2778 imb:119 pmb:990 smb:2491 d:- ref:0 ;
in:123 out:121 type:P dur:2 cpbdur:2 q:29.76 aq:23.54 tex:123090 mv:17497 misc:2517 imb:567 pmb:1327 smb:1706 d:- ref:0 ;
in:121 out:122 type:B dur:2 cpbdur:2 q:29.84 aq:27.55 tex:28973 mv:13722 misc:2289 imb:81 pmb:1003 smb:2516 d:- ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:29.80 aq:26.98 tex:24920 mv:12393 misc:2239 imb:73 pmb:917 smb:2610 d:- ref:0 ;
in:125 out:124 type:P dur:2 cpbdur:2 q:29.61 aq:23.49 tex:126615 mv:16916 misc:2493 imb:587 pmb:1287 smb:1726 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:29.69 aq:27.27 tex:24885 mv:12982 misc:2125 imb:74 pmb:932 smb:2594 d:- ref:0 ;
